"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","45","13","8","11","4","0","1","13","145.0","11.2","54.5%"
"2","Dallas Cowboys (DAL)","48","11","12","16","3","0","0","13","141.0","10.8","90.0%"
"3","San Francisco 49ers (SF)","36","14","7","9","3","0","0","13","129.0","9.9","95.5%"
"4","Philadelphia Eagles (PHI)","49","15","9","11","1","0","0","13","119.0","9.2","58.2%"
"5","Buffalo Bills (BUF)","35","13","9","7","1","2","0","13","118.0","9.1","99.0%"
"6","Baltimore Ravens (BAL)","39","14","9","12","0","0","1","13","112.0","8.6","89.6%"
"7","New York Jets (NYJ)","39","12","3","8","0","2","1","13","104.0","8.0","20.6%"
"8","Washington Commanders (WAS)","34","7","8","6","2","1","0","13","92.0","7.1","54.8%"
"9","Carolina Panthers (CAR)","28","10","4","5","3","0","0","13","92.0","7.1","12.6%"
"10","Seattle Seahawks (SEA)","34","11","10","14","1","0","1","13","90.0","6.9","21.0%"
"11","Kansas City Chiefs (KC)","42","8","6","7","2","1","0","13","88.0","6.8","47.9%"
"12","Miami Dolphins (MIA)","33","7","5","10","2","0","1","13","87.0","6.7","26.4%"
"13","Denver Broncos (DEN)","32","11","5","13","0","1","0","13","86.0","6.6","37.8%"
"14","Minnesota Vikings (MIN)","30","12","8","6","1","0","1","13","84.0","6.5","23.7%"
"15","Arizona Cardinals (ARI)","24","8","7","10","5","0","0","13","83.0","6.4","12.8%"
"16","Tampa Bay Buccaneers (TB)","38","7","5","8","1","0","0","13","82.0","6.3","81.7%"
"17","Jacksonville Jaguars (JAC)","23","10","10","11","1","0","0","13","81.0","6.2","3.3%"
"18","Tennessee Titans (TEN)","33","9","4","10","1","0","0","13","78.0","6.0","26.3%"
"19","Houston Texans (HOU)","29","10","7","5","0","1","0","13","74.0","5.7","0.8%"
"20","Atlanta Falcons (ATL)","17","10","5","5","2","1","2","13","74.0","5.7","1.7%"
"21","Cleveland Browns (CLE)","27","6","7","8","3","0","1","13","73.0","5.6","37.2%"
"22","Indianapolis Colts (IND)","32","5","7","8","0","0","0","13","70.0","5.4","52.4%"
"23","Pittsburgh Steelers (PIT)","25","14","3","8","1","0","0","13","70.0","5.4","53.7%"
"24","Cincinnati Bengals (CIN)","21","9","6","8","0","0","0","13","70.0","5.4","31.6%"
"25","Green Bay Packers (GB)","24","10","5","6","1","1","0","13","70.0","5.4","79.2%"
"26","New Orleans Saints (NO)","34","3","6","7","0","0","0","13","69.0","5.3","64.8%"
"27","Los Angeles Rams (LAR)","26","9","5","8","0","0","0","13","69.0","5.3","34.3%"
"28","New York Giants (NYG)","29","4","11","14","0","0","0","13","67.0","5.2","6.2%"
"29","Detroit Lions (DET)","26","9","8","10","1","1","0","13","67.0","5.2","2.5%"
"30","Los Angeles Chargers (LAC)","24","9","8","11","1","1","0","13","65.0","5.0","29.7%"
"31","Las Vegas Raiders (LV)","25","4","6","9","2","0","0","13","61.0","4.7","14.7%"
"32","Chicago Bears (CHI)","16","9","6","6","0","0","0","13","51.0","3.9","2.2%"
""
""