"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Tyler Bass (BUF)","26","29","89.7","56","0","3","11","10","2","37","38","13","129.0","9.9","94.3%"
"2","Justin Tucker (BAL)","28","31","90.3","58","0","8","10","4","6","29","30","13","129.0","9.9","99.0%"
"3","Daniel Carlson (LV)","28","31","90.3","57","0","8","10","1","9","26","27","13","129.0","9.9","96.5%"
"4","Nick Folk (NE)","27","32","84.4","52","1","7","8","8","3","27","27","13","122.0","9.4","75.1%"
"5","Jason Myers (SEA)","24","25","96.0","56","0","6","9","4","5","36","37","13","122.0","9.4","55.9%"
"6","Brett Maher (DAL)","21","24","87.5","60","0","6","4","3","8","39","41","13","121.0","9.3","74.9%"
"7","Greg Zuerlein (NYJ)","24","28","85.7","60","0","5","6","7","6","26","27","13","117.0","9.0","15.7%"
"8","Younghoe Koo (ATL)","23","28","82.1","54","0","5","4","8","6","27","29","13","116.0","8.9","45.5%"
"9","Evan McPherson (CIN)","19","23","82.6","59","1","2","3","8","5","34","37","13","109.0","8.4","86.6%"
"10","Ka'imi Fairbairn (HOU)","24","26","92.3","55","0","4","6","9","5","17","17","13","108.0","8.3","2.0%"
"11","Eddy Pineiro (CAR)","25","27","92.6","54","0","1","13","10","1","21","23","13","108.0","8.3","1.6%"
"12","Graham Gano (NYG)","22","25","88.0","57","0","1","8","8","5","23","25","13","107.0","8.2","62.0%"
"13","Robbie Gould (SF)","20","23","87.0","51","0","8","4","6","2","34","35","13","104.0","8.0","42.9%"
"14","Brandon McManus (DEN)","23","30","76.7","55","0","6","3","8","6","15","17","13","104.0","8.0","36.7%"
"15","Ryan Succop (TB)","24","28","85.7","54","0","8","5","9","2","18","18","13","103.0","7.9","35.1%"
"16","Cade York (CLE)","20","26","76.9","58","0","4","7","5","4","28","30","13","101.0","7.8","8.9%"
"17","Chase McLaughlin (IND)","22","27","81.5","52","0","3","5","7","7","13","13","12","100.0","8.3","3.5%"
"18","Jason Sanders (MIA)","18","22","81.8","55","0","4","3","10","1","34","37","13","100.0","7.7","13.8%"
"19","Riley Patterson (JAC)","21","25","84.0","52","0","7","6","7","1","25","26","13","97.0","7.5","2.6%"
"20","Wil Lutz (NO)","20","26","76.9","60","0","4","9","4","3","25","25","13","95.0","7.3","7.5%"
"21","Greg Joseph (MIN)","19","24","79.2","56","0","8","5","4","2","29","34","13","94.0","7.2","28.1%"
"22","Matt Gay (LAR)","19","21","90.5","58","0","7","5","3","4","23","23","13","91.0","7.0","41.6%"
"23","Joey Slye (WAS)","20","23","87.0","58","1","6","4","6","3","19","21","13","91.0","7.0","2.0%"
"24","Cairo Santos (CHI)","18","20","90.0","51","0","3","5","6","4","22","26","12","90.0","7.5","13.2%"
"25","Michael Badgley (DET)","17","19","89.5","53","0","5","2","8","2","22","22","9","85.0","9.4","27.1%"
"26","Jake Elliott (PHI)","11","13","84.6","54","0","4","5","0","2","43","45","12","80.0","6.7","27.9%"
"27","Harrison Butker (KC)","15","19","78.9","62","0","6","4","2","3","27","29","9","80.0","8.9","91.5%"
"28","Mason Crosby (GB)","15","18","83.3","48","0","6","6","3","0","26","28","13","74.0","5.7","3.2%"
"29","Matthew Wright (FA)","15","18","83.3","59","0","1","6","6","2","15","15","6","70.0","11.7","5.8%"
"30","Randy Bullock (TEN)","12","14","85.7","48","0","4","3","5","0","22","22","12","63.0","5.3","1.6%"
"31","Cameron Dicker (LAC)","15","16","93.8","47","0","5","6","4","0","14","14","7","63.0","9.0","33.4%"
"32","Chris Boswell (PIT)","12","17","70.6","59","0","3","2","2","5","11","11","8","59.0","7.4","13.0%"
"33","Matt Prater (ARI)","12","14","85.7","49","0","1","6","5","0","14","14","9","55.0","6.1","14.9%"
"34","Dustin Hopkins (LAC)","9","10","90.0","43","0","2","6","1","0","12","12","5","40.0","8.0","2.7%"
"35","Austin Seibert (FA)","3","5","60.0","48","0","0","1","2","0","12","12","3","23.0","7.7","0.3%"
"36","Matt Ammendola (FA)","5","7","71.4","31","1","3","1","0","0","5","7","4","20.0","5.0","0.1%"
"37","Rodrigo Blankenship (FA)","4","5","80.0","50","0","2","0","1","1","4","5","3","19.0","6.3","0.7%"
"38","Taylor Bertolet (LAC)","3","3","100.0","28","0","3","0","0","0","6","6","3","15.0","5.0","0.7%"
"39","Caleb Shudak (TEN)","3","4","75.0","38","0","1","2","0","0","1","1","1","10.0","10.0","0.0%"
"40","Tristan Vizcaino (NE)","2","2","100.0","46","0","0","1","1","0","3","3","2","10.0","5.0","0.1%"
"41","Nick Sciba (FA)","2","2","100.0","38","0","1","1","0","0","1","1","1","7.0","7.0","0.0%"
"42","Dominik Eberle (FA)","1","1","100.0","49","0","0","0","1","0","2","4","1","6.0","6.0","0.0%"
"43","Josh Lambo (FA)","0","0","0","0","0","0","0","0","0","3","4","1","3.0","3.0","0.0%"
"44","Sam Ficken (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"45","Zane Gonzalez (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"46","Quinn Nordin (NE)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"47","James McCourt (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","Ramiz Ahmed (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"49","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Michael Palardy (NE)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","33.3%"
"62","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Kai Forbath (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"65","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""