"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","362","61.1","130","22.0","100","16.9","592"
"Atlanta Falcons","341","66.1","96","18.6","79","15.3","516"
"Baltimore Ravens","277","49.4","150","26.7","134","23.9","561"
"Buffalo Bills","230","49.0","124","26.4","115","24.5","469"
"Carolina Panthers","266","54.2","135","27.5","90","18.3","491"
"Chicago Bears","237","50.6","133","28.4","98","20.9","468"
"Cincinnati Bengals","303","62.1","102","20.9","83","17.0","488"
"Cleveland Browns","297","52.6","146","25.8","122","21.6","565"
"Dallas Cowboys","312","64.3","75","15.5","98","20.2","485"
"Denver Broncos","353","64.1","114","20.7","84","15.2","551"
"Detroit Lions","333","59.1","111","19.7","119","21.1","563"
"Green Bay Packers","362","65.5","97","17.5","94","17.0","553"
"Houston Texans","329","63.8","86","16.7","101","19.6","516"
"Indianapolis Colts","243","51.5","86","18.2","143","30.3","472"
"Jacksonville Jaguars","306","59.2","132","25.5","79","15.3","517"
"Kansas City Chiefs","242","45.9","114","21.6","171","32.4","527"
"Las Vegas Raiders","281","50.9","161","29.2","110","19.9","552"
"Los Angeles Chargers","320","55.8","132","23.0","121","21.1","573"
"Los Angeles Rams","321","62.9","101","19.8","88","17.3","510"
"Miami Dolphins","398","67.7","100","17.0","90","15.3","588"
"Minnesota Vikings","315","60.5","109","20.9","97","18.6","521"
"New England Patriots","282","48.3","158","27.1","144","24.7","584"
"New Orleans Saints","287","54.3","179","33.8","63","11.9","529"
"New York Giants","305","50.6","139","23.1","159","26.4","603"
"New York Jets","279","57.2","107","21.9","102","20.9","488"
"Philadelphia Eagles","316","56.8","75","13.5","165","29.7","556"
"Pittsburgh Steelers","375","64.2","113","19.3","96","16.4","584"
"San Francisco 49ers","331","55.4","166","27.8","101","16.9","598"
"Seattle Seahawks","289","54.9","104","19.8","133","25.3","526"
"Tampa Bay Buccaneers","373","62.7","95","16.0","127","21.3","595"
"Tennessee Titans","268","55.5","66","13.7","149","30.8","483"
"Washington Commanders","297","55.6","111","20.8","126","23.6","534"
""
""